tagid,wave,session_date
TAG188,wave_3_scheduling_arm_1,1/14/21
TAG190,wave_1_scheduling_arm_1,7/5/17
TAG190,wave_2_scheduling_arm_1,11/20/18
TAG190,wave_3_scheduling_arm_1,2/9/21
TAG192,wave_1_scheduling_arm_1,1/19/17
TAG192,wave_2_scheduling_arm_1,7/27/18
TAG192,wave_3_scheduling_arm_1,2/10/20
TAG194,wave_1_scheduling_arm_1,1/23/17
TAG194,wave_2_scheduling_arm_1,8/8/18
TAG194,wave_3_scheduling_arm_1,2/11/20
TAG200,wave_1_scheduling_arm_1,8/30/17
TAG200,wave_2_scheduling_arm_1,2/15/19
TAG200,sos_arm_1,8/7/19
TAG200,wave_3_scheduling_arm_1,5/13/21
TAG202,wave_1_scheduling_arm_1,4/25/17
TAG202,wave_2_scheduling_arm_1,10/2/18
TAG202,sos_arm_1,6/16/19
TAG202,wave_3_scheduling_arm_1,1/21/21
TAG203,wave_1_scheduling_arm_1,1/5/18
TAG203,wave_2_scheduling_arm_1,7/12/19
TAG203,sos_arm_1,11/24/19
TAG203,wave_3_scheduling_arm_1,6/10/21
TAG205,wave_1_scheduling_arm_1,5/11/17
TAG205,wave_2_scheduling_arm_1,10/9/18
TAG205,sos_arm_1,7/8/19
TAG205,wave_3_scheduling_arm_1,11/29/20
TAG206,wave_1_scheduling_arm_1,7/28/17
TAG206,wave_2_scheduling_arm_1,2/16/19
TAG207,wave_1_scheduling_arm_1,4/3/17
TAG207,wave_2_scheduling_arm_1,9/17/18
TAG207,sos_arm_1,6/15/19
TAG207,wave_3_scheduling_arm_1,1/24/21
TAG208,wave_1_scheduling_arm_1,4/22/17
TAG208,wave_2_scheduling_arm_1,10/11/18
TAG208,wave_3_scheduling_arm_1,11/1/20
TAG209,wave_1_scheduling_arm_1,2/11/17
TAG209,wave_2_scheduling_arm_1,8/6/18
TAG209,wave_3_scheduling_arm_1,2/25/20
TAG209,wave_4_scheduling_arm_1,5/18/21
TAG210,wave_1_scheduling_arm_1,12/19/16
