TAGID,wave,session_date
TAG_160,wave_1_scheduling_arm_1,2016-07-28
TAG_160,wave_2_scheduling_arm_1,2018-02-12
TAG_160,sos_arm_1,2020-03-21
TAG_160,wave_3_scheduling_arm_1,2019-08-08
TAG_164,wave_1_scheduling_arm_1,2016-06-25
TAG_164,wave_2_scheduling_arm_1,2017-12-04
TAG_164,sos_arm_1,2019-02-17
TAG_164,wave_3_scheduling_arm_1,2019-08-16
TAG_165,wave_1_scheduling_arm_1,2018-02-09
TAG_166,wave_1_scheduling_arm_1,2017-08-24
TAG_166,wave_2_scheduling_arm_1,2019-02-05
TAG_167,wave_1_scheduling_arm_1,2016-12-30
TAG_167,wave_2_scheduling_arm_1,2018-07-17
TAG_167,sos_arm_1,2019-07-12
TAG_167,wave_3_scheduling_arm_1,2020-01-24
TAG_169,wave_1_scheduling_arm_1,2016-11-20
TAG_169,wave_2_scheduling_arm_1,2018-05-22
TAG_169,wave_3_scheduling_arm_1,2019-10-20
TAG_170,wave_1_scheduling_arm_1,2017-08-12
TAG_172,wave_1_scheduling_arm_1,2017-09-07
TAG_173,wave_1_scheduling_arm_1,2017-04-17
TAG_173,wave_2_scheduling_arm_1,2018-09-25
TAG_173,wave_3_scheduling_arm_1,2020-12-14
TAG_174,wave_1_scheduling_arm_1,2016-06-25
TAG_174,wave_2_scheduling_arm_1,2018-06-19
TAG_175,wave_1_scheduling_arm_1,2017-08-08
TAG_175,wave_2_scheduling_arm_1,2019-06-27
TAG_176,wave_1_scheduling_arm_1,2017-05-13
TAG_176,wave_2_scheduling_arm_1,2018-10-20
TAG_176,sos_arm_1,2019-07-22
TAG_177,wave_1_scheduling_arm_1,2016-10-04
TAG_177,wave_2_scheduling_arm_1,2018-05-16
TAG_177,sos_arm_1,2020-03-15
TAG_177,wave_3_scheduling_arm_1,2019-10-18
TAG_179,wave_1_scheduling_arm_1,2017-07-06
TAG_179,wave_2_scheduling_arm_1,2019-01-04
TAG_179,sos_arm_1,2019-08-27
TAG_180,wave_1_scheduling_arm_1,2017-06-24
TAG_180,wave_2_scheduling_arm_1,2018-11-12
TAG_180,sos_arm_1,2019-07-11
TAG_180,wave_3_scheduling_arm_1,2021-02-20
TAG_181,wave_1_scheduling_arm_1,2016-07-29
TAG_181,wave_2_scheduling_arm_1,2018-03-14
TAG_181,wave_3_scheduling_arm_1,2019-09-13
TAG_186,wave_1_scheduling_arm_1,2017-04-20
TAG_186,wave_2_scheduling_arm_1,2018-10-23
TAG_186,sos_arm_1,2019-06-23
TAG_186,wave_3_scheduling_arm_1,2020-12-17
TAG_188,wave_1_scheduling_arm_1,2017-08-11
TAG_188,wave_2_scheduling_arm_1,2019-03-06
TAG_188,sos_arm_1,2019-07-31
TAG_188,wave_3_scheduling_arm_1,2021-01-14
TAG_190,wave_1_scheduling_arm_1,2017-07-05
TAG_190,wave_2_scheduling_arm_1,2018-11-20
TAG_192,wave_1_scheduling_arm_1,2017-01-19
TAG_192,wave_2_scheduling_arm_1,2018-07-27
TAG_192,wave_3_scheduling_arm_1,2020-02-10
TAG_194,wave_1_scheduling_arm_1,2017-01-23
TAG_194,wave_2_scheduling_arm_1,2018-08-08
TAG_194,wave_3_scheduling_arm_1,2020-02-11
TAG_200,wave_1_scheduling_arm_1,2017-08-30
TAG_200,wave_2_scheduling_arm_1,2019-02-15
TAG_200,sos_arm_1,2019-08-07
